,gsId,name,type,gradeRange,enrollment,gsRating,parentRating,city,state,districtId,district,districtNCESId,address,phone,fax,website,ncesId,lat,lon,overviewLink,ratingsLink,reviewsLink,schoolStatsLink,college_readiness,test_scores,advanced_courses,equity_overview,race_ethnicity,low_income,disabilities,students_per_teacher,students_per_counselor,pct_teachers_3years_or_more,pct_teachers_who_r_certified,avg_teacher_salary,test_score_rating_allStudents,test_score_rating_LIstudents,test_score_rating_notLIstudents,test_scores_english_allStudents,test_scores_english_allStudents_n_students,test_scores_english_LIstudents,test_scores_english_LIstudents_n_students,test_scores_math_allStudents,test_scores_math_allStudents_n_students,test_scores_math_LIstudents,test_scores_math_LIstudents_n_students,graduation_rates_UCCSU_eligibility_allStudents,graduation_rates_UCCSU_eligibility_LIstudents,graduation_rates_gradRates_eligibility_allStudents,graduation_rates_gradRates_eligibility_LIstudents,pct_LI_students
Center High,4526.0,Center High,public,9-12,1252.0,7.0,4.0,Antelope,CA,538.0,Center Joint Unified School District,607900.0,"3111 Center Court Lane, 
Antelope, CA  95843",(916) 338-6420,(916) 338-6370,https://www.centerhigh.org/,60790008805.0,38.720290000000006,-121.38978999999999,https://www.greatschools.org/california/antelope/4526-Center-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/antelope/4526-Center-High/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/antelope/4526-Center-High/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/antelope/4526-Center-High/?utm_source=GSAPI&utm_medium=referral,8.0,6.0,,5.0,,5.0,,23,446,97,100,66377,6,5,7,55,301,51,182,32,292,26,176,26,23,94,94,58
Inderkum High,13678.0,Inderkum High School,public,9-12,1882.0,5.0,4.0,Sacramento,CA,548.0,Natomas Unified School District,600036.0,"2500 New Market Drive, 
Sacramento, CA  95835",(916) 567-5640,(916) 567-5649,http://natomasunified.org,60003611084.0,38.658359999999995,-121.51718000000001,https://www.greatschools.org/california/sacramento/13678-Inderkum-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sacramento/13678-Inderkum-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sacramento/13678-Inderkum-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/sacramento/13678-Inderkum-High-School/?utm_source=GSAPI&utm_medium=referral,6.0,5.0,,2.0,,3.0,,27,471,66,97,78121,5,3,7,50,465,39,246,24,469,16,245,62,58,97,97,48
Natomas Pacific Pathways Prep,16973.0,Natomas Pacific Pathways Prep School,charter,9-12,597.0,9.0,4.0,Sacramento,CA,548.0,Natomas Unified School District,600036.0,"3700 Del Paso Road, 
Sacramento, CA  95834",(916) 567-5740,(916) 928-5299,http://natomasunified.org,60003611735.0,38.655556,-121.54633999999999,https://www.greatschools.org/california/sacramento/16973-Natomas-Pacific-Pathways-Prep-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sacramento/16973-Natomas-Pacific-Pathways-Prep-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sacramento/16973-Natomas-Pacific-Pathways-Prep-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/sacramento/16973-Natomas-Pacific-Pathways-Prep-School/?utm_source=GSAPI&utm_medium=referral,9.0,10.0,,10.0,,10.0,,20,199,82,100,62234,10,10,10,84,162,78,73,64,162,60,73,93,91,99,98,40
Natomas High,4627.0,Natomas High School,public,9-12,1015.0,2.0,3.0,Sacramento,CA,548.0,Natomas Unified School District,600036.0,"3301 Fong Ranch Road, 
Sacramento, CA  95834",(916) 641-4960,(916) 641-5455,http://natomasunified.org,60003603755.0,38.628871999999994,-121.495,https://www.greatschools.org/california/sacramento/4627-Natomas-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sacramento/4627-Natomas-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sacramento/4627-Natomas-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/sacramento/4627-Natomas-High-School/?utm_source=GSAPI&utm_medium=referral,1.0,2.0,,3.0,,2.0,,27,337,63,100,94348,2,2,3,43,208,42,159,7,206,8,159,44,43,85,87,61
Futures High,24621.0,Futures High School,charter,7-12,424.0,6.0,1.0,North Highlands,CA,1205.0,Twin Rivers Unified School District,601332.0,"3701 Stephen Drive, 
North Highlands, CA  95660",(916) 286-1902,(916) 263-6059,www.gcccharters.org,60133211070.0,38.67707,-121.37698,https://www.greatschools.org/california/north-highlands/24621-Futures-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/north-highlands/24621-Futures-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/north-highlands/24621-Futures-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/north-highlands/24621-Futures-High-School/?utm_source=GSAPI&utm_medium=referral,4.0,6.0,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,
SAVA - Sacramento Academic and Vocational Academy,24631.0,Sava: Sacramento Academic And Vocational Academy,charter,7-12,701.0,,5.0,Sacramento,CA,1205.0,Twin Rivers Unified School District,601332.0,"5330 Power Inn Road, Suite D, 
Sacramento, CA  95820",(916) 387-8063,(916) 387-0139,www.gcccharters.org,60133211951.0,38.527004,-121.40923000000001,https://www.greatschools.org/california/sacramento/24631-Sava:-Sacramento-Academic-And-Vocational-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sacramento/24631-Sava:-Sacramento-Academic-And-Vocational-Academy/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sacramento/24631-Sava:-Sacramento-Academic-And-Vocational-Academy/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/sacramento/24631-Sava:-Sacramento-Academic-And-Vocational-Academy/?utm_source=GSAPI&utm_medium=referral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grant Union High,24089.0,Grant Union High School,public,9-12,1916.0,3.0,4.0,Sacramento,CA,1205.0,Twin Rivers Unified School District,601332.0,"1400 Grand Avenue, 
Sacramento, CA  95838",(916) 566-3450,(916) 286-1084,https://ghs-trusd-ca.schoolloop.com/,60133201987.0,38.636486,-121.43391000000001,https://www.greatschools.org/california/sacramento/24089-Grant-Union-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sacramento/24089-Grant-Union-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sacramento/24089-Grant-Union-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/sacramento/24089-Grant-Union-High-School/?utm_source=GSAPI&utm_medium=referral,2.0,3.0,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,
Highlands High,24090.0,Highlands High School,public,9-12,808.0,4.0,3.0,North Highlands,CA,1205.0,Twin Rivers Unified School District,601332.0,"6601 Guthrie Way, 
North Highlands, CA  95660",(916) 566-3465,(916) 566-7811,http://haad-trusd-ca.schoolloop.com/,60133201988.0,38.687733,-121.35773999999999,https://www.greatschools.org/california/north-highlands/24090-Highlands-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/north-highlands/24090-Highlands-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/north-highlands/24090-Highlands-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/north-highlands/24090-Highlands-High-School/?utm_source=GSAPI&utm_medium=referral,2.0,4.0,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,
Rio Linda High,24091.0,Rio Linda High School,public,9-12,1738.0,6.0,3.0,Rio Linda,CA,1205.0,Twin Rivers Unified School District,601332.0,"6309 Dry Creek Road, 
Rio Linda, CA  95673",(916) 566-2725,(916) 263-6462,https://rlhs-trusd-ca.schoolloop.com/,60133201991.0,38.682213,-121.43846,https://www.greatschools.org/california/rio-linda/24091-Rio-Linda-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/rio-linda/24091-Rio-Linda-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/rio-linda/24091-Rio-Linda-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/rio-linda/24091-Rio-Linda-High-School/?utm_source=GSAPI&utm_medium=referral,5.0,6.0,,4.0,,6.0,,,,,,,,,,,,,,,,,,,,,,
San Benito High,4943.0,San Benito High School,public,9-12,2897.0,6.0,3.0,Hollister,CA,587.0,San Benito High School District,634140.0,"1220 Monterey Street, 
Hollister, CA  95023",(831) 637-5831,(831) 637-6524,www.sbhsd.k12.ca.us,63414005344.0,36.840908,-121.40423999999999,https://www.greatschools.org/california/hollister/4943-San-Benito-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/hollister/4943-San-Benito-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/hollister/4943-San-Benito-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/hollister/4943-San-Benito-High-School/?utm_source=GSAPI&utm_medium=referral,5.0,7.0,,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,
Anzar High,4926.0,Anzar High School,public,9-12,361.0,5.0,4.0,San Juan Bautista,CA,579.0,Aromas - San Juan Unified School District,691136.0,"2000 San Juan Highway, 
San Juan Bautista, CA  95045",(831) 623-7660,(831) 623-7676,https://anzar.schoolloop.com/,69113603761.0,36.8747,-121.55435,https://www.greatschools.org/california/san-juan-bautista/4926-Anzar-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-juan-bautista/4926-Anzar-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-juan-bautista/4926-Anzar-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-juan-bautista/4926-Anzar-High-School/?utm_source=GSAPI&utm_medium=referral,6.0,5.0,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,
Excelsior Charter,11085.0,Excelsior Charter School,charter,7-12,1939.0,3.0,5.0,Victorville,CA,623.0,Victor Valley Union High School District,636972.0,"18422 Bear Valley Road, Building 11, 
Victorville, CA  92395",(760) 245-4262,(760) 245-4009,www.excelsior.com,63697205058.0,34.471027,-117.26081,https://www.greatschools.org/california/victorville/11085-Excelsior-Charter-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/victorville/11085-Excelsior-Charter-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/victorville/11085-Excelsior-Charter-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/victorville/11085-Excelsior-Charter-School/?utm_source=GSAPI&utm_medium=referral,5.0,3.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,
Barstow High,4981.0,Barstow High School,public,9-12,1401.0,5.0,3.0,Barstow,CA,595.0,Barstow Unified School District,604020.0,"430 South First Avenue, 
Barstow, CA  92311",(760) 255-6105,(760) 256-4076,,60402000355.0,34.894436,-117.02776000000001,https://www.greatschools.org/california/barstow/4981-Barstow-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/barstow/4981-Barstow-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/barstow/4981-Barstow-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/barstow/4981-Barstow-High-School/?utm_source=GSAPI&utm_medium=referral,5.0,4.0,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,
Big Bear High,4995.0,Big Bear High School,public,9-12,700.0,6.0,4.0,Big Bear City,CA,596.0,Bear Valley Unified School District,604230.0,"351 Maple Lane, 
Big Bear City, CA  92314",(909) 585-6892,(909) 585-6809,,60423000381.0,34.24624,-116.82515,https://www.greatschools.org/california/big-bear-city/4995-Big-Bear-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/big-bear-city/4995-Big-Bear-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/big-bear-city/4995-Big-Bear-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/big-bear-city/4995-Big-Bear-High-School/?utm_source=GSAPI&utm_medium=referral,8.0,5.0,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,
Alta Loma High,5007.0,Alta Loma High School,public,9-12,2514.0,8.0,4.0,Alta Loma,CA,598.0,Chaffey Joint Union High School District,608160.0,"8880 Baseline Road, 
Alta Loma, CA  91701",(909) 989-5511,(909) 391-5336,www.cjuhsd.net,60816000790.0,34.121590000000005,-117.61143,https://www.greatschools.org/california/alta-loma/5007-Alta-Loma-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/alta-loma/5007-Alta-Loma-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/alta-loma/5007-Alta-Loma-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/alta-loma/5007-Alta-Loma-High-School/?utm_source=GSAPI&utm_medium=referral,8.0,8.0,,6.0,,7.0,,,,,,,,,,,,,,,,,,,,,,
Etiwanda High,5010.0,Etiwanda High School,public,9-12,3458.0,8.0,3.0,Etiwanda,CA,598.0,Chaffey Joint Union High School District,608160.0,"13500 Victoria Avenue, 
Etiwanda, CA  91739",(909) 899-2531,(909) 899-3661,www.cjuhsd.net,60816008807.0,34.12911,-117.51028000000001,https://www.greatschools.org/california/etiwanda/5010-Etiwanda-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/etiwanda/5010-Etiwanda-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/etiwanda/5010-Etiwanda-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/etiwanda/5010-Etiwanda-High-School/?utm_source=GSAPI&utm_medium=referral,8.0,8.0,,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,
Rancho Cucamonga High,5013.0,Rancho Cucamonga High School,public,9-12,3444.0,9.0,4.0,Rancho Cucamonga,CA,598.0,Chaffey Joint Union High School District,608160.0,"11801 Lark Drive, 
Rancho Cucamonga, CA  91701",(909) 989-1600,(909) 945-5355,www.cjuhsd.net,60816001122.0,34.13192,-117.55107,https://www.greatschools.org/california/rancho-cucamonga/5013-Rancho-Cucamonga-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/rancho-cucamonga/5013-Rancho-Cucamonga-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/rancho-cucamonga/5013-Rancho-Cucamonga-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/rancho-cucamonga/5013-Rancho-Cucamonga-High-School/?utm_source=GSAPI&utm_medium=referral,9.0,9.0,,7.0,,8.0,,,,,,,,,,,,,,,,,,,,,,
Los Osos High,12199.0,Los Osos High School,public,9-12,3198.0,9.0,4.0,Rancho Cucamonga,CA,598.0,Chaffey Joint Union High School District,608160.0,"6001 Milliken Avenue, 
Rancho Cucamonga, CA  91737",(909) 477-6900,(909) 460-5872,www.cjuhsd.net,60816010605.0,34.143444,-117.55841000000001,https://www.greatschools.org/california/rancho-cucamonga/12199-Los-Osos-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/rancho-cucamonga/12199-Los-Osos-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/rancho-cucamonga/12199-Los-Osos-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/rancho-cucamonga/12199-Los-Osos-High-School/?utm_source=GSAPI&utm_medium=referral,9.0,9.0,,7.0,,8.0,,,,,,,,,,,,,,,,,,,,,,
Colony High,12200.0,Colony High School,public,9-12,2135.0,6.0,3.0,Ontario,CA,598.0,Chaffey Joint Union High School District,608160.0,"3850 East Riverside Drive, 
Ontario, CA  91761",(909) 930-2929,(909) 460-5856,www.cjuhsd.net,60816010606.0,34.018932,-117.56928,https://www.greatschools.org/california/ontario/12200-Colony-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/ontario/12200-Colony-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/ontario/12200-Colony-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/ontario/12200-Colony-High-School/?utm_source=GSAPI&utm_medium=referral,6.0,7.0,,5.0,,6.0,,,,,,,,,,,,,,,,,,,,,,
Chaffey High,5009.0,Chaffey High School,public,9-12,3482.0,4.0,4.0,Ontario,CA,598.0,Chaffey Joint Union High School District,608160.0,"1245 North Euclid Avenue, 
Ontario, CA  91762",(909) 988-5560,(909) 988-0146,www.cjuhsd.net,60816000791.0,34.08057,-117.65131000000001,https://www.greatschools.org/california/ontario/5009-Chaffey-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/ontario/5009-Chaffey-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/ontario/5009-Chaffey-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/ontario/5009-Chaffey-High-School/?utm_source=GSAPI&utm_medium=referral,4.0,5.0,,6.0,,5.0,,,,,,,,,,,,,,,,,,,,,,
Montclair High,5011.0,Montclair High School,public,9-12,2989.0,6.0,4.0,Montclair,CA,598.0,Chaffey Joint Union High School District,608160.0,"4725 Benito Street, 
Montclair, CA  91763",(909) 621-6781,(909) 621-1882,www.cjuhsd.net,60816000793.0,34.074005,-117.70204,https://www.greatschools.org/california/montclair/5011-Montclair-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/montclair/5011-Montclair-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/montclair/5011-Montclair-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/montclair/5011-Montclair-High-School/?utm_source=GSAPI&utm_medium=referral,5.0,7.0,,7.0,,7.0,,,,,,,,,,,,,,,,,,,,,,
Ontario High,5012.0,Ontario High School,public,9-12,2463.0,6.0,4.0,Ontario,CA,598.0,Chaffey Joint Union High School District,608160.0,"901 West Francis Street, 
Ontario, CA  91762",(909) 988-7411,(909) 986-2181,www.cjuhsd.net,60816000795.0,34.040946999999996,-117.66578999999999,https://www.greatschools.org/california/ontario/5012-Ontario-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/ontario/5012-Ontario-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/ontario/5012-Ontario-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/ontario/5012-Ontario-High-School/?utm_source=GSAPI&utm_medium=referral,5.0,7.0,,8.0,,7.0,,,,,,,,,,,,,,,,,,,,,,
Don Antonio Lugo High,5027.0,Don Antonio Lugo High School,public,9-12,1698.0,5.0,4.0,Chino,CA,599.0,Chino Valley Unified School District,608460.0,"13400 Pipeline Avenue, 
Chino, CA  91710",(909) 591-3902,(909) 591-0187,www.chino.k12.ca.us/domain/39,60846000838.0,34.009632,-117.7154,https://www.greatschools.org/california/chino/5027-Don-Antonio-Lugo-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/chino/5027-Don-Antonio-Lugo-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/chino/5027-Don-Antonio-Lugo-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/chino/5027-Don-Antonio-Lugo-High-School/?utm_source=GSAPI&utm_medium=referral,4.0,5.0,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,
Ruben S. Ayala High,5015.0,Ruben S. Ayala High School,public,9-12,2629.0,10.0,3.0,Chino Hills,CA,599.0,Chino Valley Unified School District,608460.0,"14255 Peyton Avenue, 
Chino Hills, CA  91709",(909) 627-3584,(909) 464-9239,http://ayala.chino.k12.ca.us,60846009757.0,33.994385,-117.73251,https://www.greatschools.org/california/chino-hills/5015-Ruben-S.-Ayala-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/chino-hills/5015-Ruben-S.-Ayala-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/chino-hills/5015-Ruben-S.-Ayala-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/chino-hills/5015-Ruben-S.-Ayala-High-School/?utm_source=GSAPI&utm_medium=referral,9.0,9.0,,9.0,,8.0,,,,,,,,,,,,,,,,,,,,,,
