,gsId,name,type,gradeRange,enrollment,gsRating,parentRating,city,state,districtId,district,districtNCESId,address,phone,fax,website,ncesId,lat,lon,overviewLink,ratingsLink,reviewsLink,schoolStatsLink,college_readiness,test_scores,advanced_courses,equity_overview,race_ethnicity,low_income,disabilities
San Juan Hills High,17561,San Juan Hills High School,public,9-12,2515,9,4,San Juan Capistrano,CA,467,Capistrano Unified School District,0607440,"29211 Stallion Ridge, 
San Juan Capistrano, CA  92675",(949) 234-5900,(949) 488-9727,www.sjhhs.org,060744011854,33.5018,-117.6227,https://www.greatschools.org/california/san-juan-capistrano/17561-San-Juan-Hills-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-juan-capistrano/17561-San-Juan-Hills-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-juan-capistrano/17561-San-Juan-Hills-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-juan-capistrano/17561-San-Juan-Hills-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Capistrano Valley High,3644,Capistrano Valley High School,public,9-12,2241,9,4,Mission Viejo,CA,467,Capistrano Unified School District,0607440,"26301 Via Escolar, 
Mission Viejo, CA  92692",(949) 364-6100,(949) 347-1298,www.cvhs.com,060744000685,33.54255,-117.67324,https://www.greatschools.org/california/mission-viejo/3644-Capistrano-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/mission-viejo/3644-Capistrano-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/mission-viejo/3644-Capistrano-Valley-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/mission-viejo/3644-Capistrano-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Aliso Niguel High,3635,Aliso Niguel High School,public,9-12,3068,10,4,Aliso Viejo,CA,467,Capistrano Unified School District,0607440,"28000 Wolverine Way, 
Aliso Viejo, CA  92656",(949) 831-5590,(949) 448-9854,http://anhs-capousd-ca.schoolloop.com/,060744002328,33.561375,-117.72094,https://www.greatschools.org/california/aliso-viejo/3635-Aliso-Niguel-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/aliso-viejo/3635-Aliso-Niguel-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/aliso-viejo/3635-Aliso-Niguel-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/aliso-viejo/3635-Aliso-Niguel-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Tesoro High,11987,Tesoro High School,public,9-12,2451,9,4,Las Flores,CA,467,Capistrano Unified School District,0607440,"1 Tesoro Creek Road, 
Las Flores, CA  92688",(949) 234-5310,(949) 766-3370,www.tesorohighschool.com,060744008750,33.585857,-117.61329,https://www.greatschools.org/california/las-flores/11987-Tesoro-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/las-flores/11987-Tesoro-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/las-flores/11987-Tesoro-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/las-flores/11987-Tesoro-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
San Clemente High,3666,San Clemente High School,public,9-12,3024,9,4,San Clemente,CA,467,Capistrano Unified School District,0607440,"700 Avenido Pico, 
San Clemente, CA  92673",(949) 492-4165,(949) 361-5175,www.sctritons.com/,060744000701,33.43982,-117.61752,https://www.greatschools.org/california/san-clemente/3666-San-Clemente-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-clemente/3666-San-Clemente-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/san-clemente/3666-San-Clemente-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/san-clemente/3666-San-Clemente-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Dana Hills High,3649,Dana Hills High School,public,9-12,2679,9,4,Dana Point,CA,467,Capistrano Unified School District,0607440,"33333 Golden Lantern, 
Dana Point, CA  92629",(949) 496-6666,(949) 489-8317,www.dhhs.net,060744000689,33.478615,-117.6978,https://www.greatschools.org/california/dana-point/3649-Dana-Hills-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/dana-point/3649-Dana-Hills-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/dana-point/3649-Dana-Hills-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/dana-point/3649-Dana-Hills-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Buena Park High,3695,Buena Park High School,public,9-12,1913,5,4,Buena Park,CA,471,Fullerton Joint Union High School District,0614760,"8833 Academy Drive, 
Buena Park, CA  90621",(714) 992-8601,(714) 992-8619,http://www.cde.ca.gov/re/sd/details.asp?cds=30665143030855&Public=Y,061476001809,33.860928,-117.97906,https://www.greatschools.org/california/buena-park/3695-Buena-Park-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/buena-park/3695-Buena-Park-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/buena-park/3695-Buena-Park-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/buena-park/3695-Buena-Park-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Fullerton Union High,3696,Fullerton Union High School,public,9-12,2110,7,4,Fullerton,CA,471,Fullerton Joint Union High School District,0614760,"201 East Chapman Avenue, 
Fullerton, CA  92832",(714) 626-3801,(714) 626-3839,http://www.fullertonhigh.org ,061476001810,33.874016,-117.92205,https://www.greatschools.org/california/fullerton/3696-Fullerton-Union-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/fullerton/3696-Fullerton-Union-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/fullerton/3696-Fullerton-Union-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/fullerton/3696-Fullerton-Union-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
La Habra High,3697,La Habra High School,public,9-12,2212,7,3,La Habra,CA,471,Fullerton Joint Union High School District,0614760,"801 West Highlander Avenue, 
La Habra, CA  90631",(562) 266-5200,(562) 691-8280,http://www.lahabrahighschool.net ,061476001811,33.93548,-117.95658,https://www.greatschools.org/california/la-habra/3697-La-Habra-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/la-habra/3697-La-Habra-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/la-habra/3697-La-Habra-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/la-habra/3697-La-Habra-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Sonora High,7409,Sonora High School,public,9-12,940,8,4,Sonora,CA,943,Sonora Union High School District,0637260,"430 North Washington Street, 
Sonora, CA  95370",(209) 532-5511,(209) 533-1158,http://sonorahs.k12.ca.us/shs/,063726006306,37.99251,-120.38368,https://www.greatschools.org/california/sonora/7409-Sonora-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sonora/7409-Sonora-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/sonora/7409-Sonora-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/sonora/7409-Sonora-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Sunny Hills High,3700,Sunny Hills High School,public,9-12,2307,9,4,Fullerton,CA,471,Fullerton Joint Union High School District,0614760,"1801 Warburton Way, 
Fullerton, CA  92833",(714) 626-4201,(714) 738-3728,http://www.sunnyhills.net/,061476001815,33.8828,-117.95394,https://www.greatschools.org/california/fullerton/3700-Sunny-Hills-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/fullerton/3700-Sunny-Hills-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/fullerton/3700-Sunny-Hills-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/fullerton/3700-Sunny-Hills-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Troy High,3701,Troy High School,public,9-12,2764,10,4,Fullerton,CA,471,Fullerton Joint Union High School District,0614760,"2200 East Dorothy Lane, 
Fullerton, CA  92831",(714) 626-4401,(714) 626-4492,http://www.troyhigh.org,061476001816,33.881435,-117.89005,https://www.greatschools.org/california/fullerton/3701-Troy-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/fullerton/3701-Troy-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/fullerton/3701-Troy-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/fullerton/3701-Troy-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Bolsa Grande High,3736,Bolsa Grande High School,public,9-12,1995,8,4,Garden Grove,CA,474,Garden Grove Unified School District,0614880,"9401 Westminster Avenue, 
Garden Grove, CA  92844",(714) 663-6424,(714) 663-6029,www.ggusd.us/bghs,061488001827,33.75954,-117.96323,https://www.greatschools.org/california/garden-grove/3736-Bolsa-Grande-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/garden-grove/3736-Bolsa-Grande-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/garden-grove/3736-Bolsa-Grande-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/garden-grove/3736-Bolsa-Grande-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Garden Grove High,3751,Garden Grove High School,public,9-12,2454,8,4,Garden Grove,CA,474,Garden Grove Unified School District,0614880,"11271 Stanford Avenue, 
Garden Grove, CA  92840",(714) 663-6115,(714) 663-6030,www.ggusd.us/gghs,061488001844,33.777897,-117.93563,https://www.greatschools.org/california/garden-grove/3751-Garden-Grove-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/garden-grove/3751-Garden-Grove-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/garden-grove/3751-Garden-Grove-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/garden-grove/3751-Garden-Grove-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
La Quinta High,4299,La Quinta High School,public,9-12,2740,7,4,La Quinta,CA,520,Desert Sands Unified School District,0611110,"79-255 Blackhawk Way, 
La Quinta, CA  92253",(760) 772-4150,(760) 772-4166,www.dsusd.us,061111003582,33.713505,-116.28052,https://www.greatschools.org/california/la-quinta/4299-La-Quinta-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/la-quinta/4299-La-Quinta-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/la-quinta/4299-La-Quinta-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/la-quinta/4299-La-Quinta-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Los Amigos High,3762,Los Amigos High School,public,9-12,1816,5,4,Fountain Valley,CA,474,Garden Grove Unified School District,0614880,"16566 Newhope Street, 
Fountain Valley, CA  92708",(714) 663-6288,(714) 663-6518,www.ggusd.us/lahs,061488001858,33.7227,-117.9285,https://www.greatschools.org/california/fountain-valley/3762-Los-Amigos-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/fountain-valley/3762-Los-Amigos-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/fountain-valley/3762-Los-Amigos-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/fountain-valley/3762-Los-Amigos-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Pacifica High,12114,Pacifica High School,public,9-12,3306,4,4,Oxnard,CA,1020,Oxnard Union High School District,0629270,"600 East Gonzales Road, 
Oxnard, CA  93036",(805) 278-5000,(805) 278-5009,http://www.pacificahigh.us/,062927010452,34.2189,-119.17153,https://www.greatschools.org/california/oxnard/12114-Pacifica-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oxnard/12114-Pacifica-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oxnard/12114-Pacifica-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oxnard/12114-Pacifica-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Rancho Alamitos High,3778,Rancho Alamitos High School,public,9-12,1793,7,3,Garden Grove,CA,474,Garden Grove Unified School District,0614880,"11351 Dale Street, 
Garden Grove, CA  92841",(714) 663-6415,(714) 663-6439,www.ggusd.us/rahs,061488001874,33.796597,-117.98445,https://www.greatschools.org/california/garden-grove/3778-Rancho-Alamitos-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/garden-grove/3778-Rancho-Alamitos-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/garden-grove/3778-Rancho-Alamitos-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/garden-grove/3778-Rancho-Alamitos-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Santiago High,4277,Santiago High School,public,9-12,3580,8,4,Corona,CA,518,Corona-Norco Unified School District,0609850,"1395 Foothill Parkway, 
Corona, CA  92881",(951) 739-5600,(951) 739-5639,www.cnusd.k12.ca.us/shs,060985004959,33.834,-117.54604,https://www.greatschools.org/california/corona/4277-Santiago-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/corona/4277-Santiago-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/corona/4277-Santiago-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/corona/4277-Santiago-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Ocean View High,3807,Ocean View High School,public,9-12,1498,5,4,Huntington Beach,CA,476,Huntington Beach Union High School District,0618060,"17071 Gothard Street, 
Huntington Beach, CA  92647",(714) 848-0656,(714) 843-0541,www.ovhs.info,061806002233,33.714832,-118.00012,https://www.greatschools.org/california/huntington-beach/3807-Ocean-View-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/huntington-beach/3807-Ocean-View-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/huntington-beach/3807-Ocean-View-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/huntington-beach/3807-Ocean-View-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Fountain Valley High,3804,Fountain Valley High School,public,9-12,3558,9,4,Fountain Valley,CA,476,Huntington Beach Union High School District,0618060,"17816 Bushard, 
Fountain Valley, CA  92708",(714) 962-3301,(714) 964-0491,www.fvhs.com,061806002228,33.704388,-117.96302,https://www.greatschools.org/california/fountain-valley/3804-Fountain-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/fountain-valley/3804-Fountain-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/fountain-valley/3804-Fountain-Valley-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/fountain-valley/3804-Fountain-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
Huntington Beach High,3805,Huntington Beach High School,public,9-12,2954,9,4,Huntington Beach,CA,476,Huntington Beach Union High School District,0618060,"1905 Main Street, 
Huntington Beach, CA  92648",(714) 536-2514,(714) 960-7042,www.hboilers.com,061806002230,33.67837,-118.00177,https://www.greatschools.org/california/huntington-beach/3805-Huntington-Beach-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/huntington-beach/3805-Huntington-Beach-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/huntington-beach/3805-Huntington-Beach-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/huntington-beach/3805-Huntington-Beach-High-School/?utm_source=GSAPI&utm_medium=referral,,,,,,,
