,gsId,name,type,gradeRange,enrollment,gsRating,parentRating,city,state,districtId,district,districtNCESId,address,phone,fax,website,ncesId,lat,lon,overviewLink,ratingsLink,reviewsLink,schoolStatsLink,college_readiness,test_scores,advanced_courses,equity_overview,race_ethnicity,low_income,disabilities,students_per_teacher,students_per_counselor,pct_teachers_3years_or_more,pct_teachers_who_r_certified,avg_teacher_salary,test_score_rating_allStudents,test_score_rating_LIstudents,test_score_rating_notLIstudents,test_scores_english_allStudents,test_scores_english_allStudents_n_students,test_scores_english_LIstudents,test_scores_english_LIstudents_n_students,test_scores_math_allStudents,test_scores_math_allStudents_n_students,test_scores_math_LIstudents,test_scores_math_LIstudents_n_students,graduation_rates_UCCSU_eligibility_allStudents,graduation_rates_UCCSU_eligibility_LIstudents,graduation_rates_gradRates_eligibility_allStudents,graduation_rates_gradRates_eligibility_LIstudents,pct_LI_students,zip_code_GS,schoolname4merge
Los Amigos High,3762.0,Los Amigos High School,public,9-12,1816.0,5.0,4.0,Fountain Valley,CA,474.0,Garden Grove Unified School District,614880.0,"16566 Newhope Street, 
Fountain Valley, CA  92708",(714) 663-6288,(714) 663-6518,www.ggusd.us/lahs,61488001858.0,33.7227,-117.9285,https://www.greatschools.org/california/fountain-valley/3762-Los-Amigos-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/fountain-valley/3762-Los-Amigos-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/fountain-valley/3762-Los-Amigos-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/fountain-valley/3762-Los-Amigos-High-School/?utm_source=GSAPI&utm_medium=referral,4.0,5.0,,5.0,,5.0,,25.0,606.0,92.0,100.0,106580.0,5.0,5.0,6.0,51.0,372.0,50.0,311.0,30.0,370.0,29.0,309.0,54.0,54.0,88.0,88.0,82.0,92708.0,Los Amigos High
Pacifica High,12114.0,Pacifica High School,public,9-12,3306.0,4.0,4.0,Oxnard,CA,1020.0,Oxnard Union High School District,629270.0,"600 East Gonzales Road, 
Oxnard, CA  93036",(805) 278-5000,(805) 278-5009,http://www.pacificahigh.us/,62927010452.0,34.2189,-119.17153,https://www.greatschools.org/california/oxnard/12114-Pacifica-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oxnard/12114-Pacifica-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/oxnard/12114-Pacifica-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/oxnard/12114-Pacifica-High-School/?utm_source=GSAPI&utm_medium=referral,5.0,4.0,,3.0,,3.0,,29.0,245.0,88.0,100.0,91669.0,4.0,3.0,6.0,43.0,742.0,40.0,594.0,18.0,722.0,15.0,579.0,38.0,36.0,88.0,87.0,70.0,93036.0,Pacifica High
Rancho Alamitos High,3778.0,Rancho Alamitos High School,public,9-12,1793.0,7.0,3.0,Garden Grove,CA,474.0,Garden Grove Unified School District,614880.0,"11351 Dale Street, 
Garden Grove, CA  92841",(714) 663-6415,(714) 663-6439,www.ggusd.us/rahs,61488001874.0,33.796597,-117.98445,https://www.greatschools.org/california/garden-grove/3778-Rancho-Alamitos-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/garden-grove/3778-Rancho-Alamitos-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/garden-grove/3778-Rancho-Alamitos-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/garden-grove/3778-Rancho-Alamitos-High-School/?utm_source=GSAPI&utm_medium=referral,6.0,7.0,,5.0,,6.0,,24.0,449.0,92.0,100.0,103359.0,7.0,6.0,8.0,63.0,397.0,60.0,295.0,31.0,400.0,28.0,296.0,53.0,51.0,89.0,89.0,68.0,92841.0,Rancho Alamitos High
Santiago High,4277.0,Santiago High School,public,9-12,3580.0,8.0,4.0,Corona,CA,518.0,Corona-Norco Unified School District,609850.0,"1395 Foothill Parkway, 
Corona, CA  92881",(951) 739-5600,(951) 739-5639,www.cnusd.k12.ca.us/shs,60985004959.0,33.834,-117.54604,https://www.greatschools.org/california/corona/4277-Santiago-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/corona/4277-Santiago-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/corona/4277-Santiago-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/corona/4277-Santiago-High-School/?utm_source=GSAPI&utm_medium=referral,8.0,8.0,,6.0,,6.0,,28.0,398.0,96.0,100.0,107079.0,8.0,6.0,9.0,67.0,800.0,52.0,239.0,44.0,799.0,30.0,240.0,66.0,55.0,98.0,97.0,26.0,92881.0,Santiago High
Ocean View High,3807.0,Ocean View High School,public,9-12,1498.0,5.0,4.0,Huntington Beach,CA,476.0,Huntington Beach Union High School District,618060.0,"17071 Gothard Street, 
Huntington Beach, CA  92647",(714) 848-0656,(714) 843-0541,www.ovhs.info,61806002233.0,33.714832,-118.00012,https://www.greatschools.org/california/huntington-beach/3807-Ocean-View-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/huntington-beach/3807-Ocean-View-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/huntington-beach/3807-Ocean-View-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/huntington-beach/3807-Ocean-View-High-School/?utm_source=GSAPI&utm_medium=referral,5.0,5.0,,3.0,,3.0,,24.0,749.0,81.0,100.0,83765.0,5.0,3.0,7.0,53.0,325.0,46.0,195.0,23.0,325.0,15.0,196.0,42.0,35.0,87.0,85.0,55.0,92647.0,Ocean View High
Fountain Valley High,3804.0,Fountain Valley High School,public,9-12,3558.0,9.0,4.0,Fountain Valley,CA,476.0,Huntington Beach Union High School District,618060.0,"17816 Bushard, 
Fountain Valley, CA  92708",(714) 962-3301,(714) 964-0491,www.fvhs.com,61806002228.0,33.704388,-117.96302,https://www.greatschools.org/california/fountain-valley/3804-Fountain-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/fountain-valley/3804-Fountain-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/fountain-valley/3804-Fountain-Valley-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/fountain-valley/3804-Fountain-Valley-High-School/?utm_source=GSAPI&utm_medium=referral,9.0,10.0,,9.0,,10.0,,29.0,3688.0,82.0,100.0,88257.0,10.0,10.0,10.0,82.0,738.0,80.0,261.0,63.0,698.0,57.0,249.0,61.0,58.0,94.0,92.0,27.0,92708.0,Fountain Valley High
Huntington Beach High,3805.0,Huntington Beach High School,public,9-12,2954.0,9.0,4.0,Huntington Beach,CA,476.0,Huntington Beach Union High School District,618060.0,"1905 Main Street, 
Huntington Beach, CA  92648",(714) 536-2514,(714) 960-7042,www.hboilers.com,61806002230.0,33.67837,-118.00177,https://www.greatschools.org/california/huntington-beach/3805-Huntington-Beach-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/huntington-beach/3805-Huntington-Beach-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/huntington-beach/3805-Huntington-Beach-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/huntington-beach/3805-Huntington-Beach-High-School/?utm_source=GSAPI&utm_medium=referral,9.0,9.0,,7.0,,7.0,,29.0,2983.0,81.0,100.0,88350.0,9.0,7.0,10.0,77.0,692.0,60.0,136.0,57.0,699.0,40.0,139.0,54.0,34.0,96.0,92.0,14.0,92648.0,Huntington Beach High
Westminster High,3809.0,Westminster High School,public,9-12,2622.0,7.0,4.0,Westminster,CA,476.0,Huntington Beach Union High School District,618060.0,"14325 Goldenwest Street, 
Westminster, CA  92683",(714) 893-1381,(714) 898-4721,www.whslions.net,61806002234.0,33.754517,-118.0071,https://www.greatschools.org/california/westminster/3809-Westminster-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/westminster/3809-Westminster-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/westminster/3809-Westminster-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/westminster/3809-Westminster-High-School/?utm_source=GSAPI&utm_medium=referral,6.0,8.0,,7.0,,8.0,,24.0,1044.0,87.0,100.0,90680.0,8.0,8.0,9.0,65.0,591.0,64.0,455.0,46.0,600.0,45.0,466.0,36.0,35.0,87.0,87.0,78.0,92683.0,Westminster High
Laguna Beach High,3842.0,Laguna Beach High School,public,9-12,1103.0,9.0,4.0,Laguna Beach,CA,478.0,Laguna Beach Unified School District,620370.0,"625 Park Avenue, 
Laguna Beach, CA  92651",(949) 497-7750,(949) 497-7766,www.lbusd.org/page.cfm?p522,62037002454.0,33.542034,-117.77795,https://www.greatschools.org/california/laguna-beach/3842-Laguna-Beach-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/laguna-beach/3842-Laguna-Beach-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/laguna-beach/3842-Laguna-Beach-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/laguna-beach/3842-Laguna-Beach-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,9.0,,6.0,,6.0,,20.0,359.0,96.0,100.0,101280.0,9.0,6.0,10.0,75.0,293.0,54.0,46.0,56.0,292.0,35.0,46.0,76.0,58.0,98.0,94.0,7.0,92651.0,Laguna Beach High
Corona del Mar High,3878.0,Corona Del Mar High School,public,7-12,2580.0,9.0,3.0,Newport Beach,CA,482.0,Newport-Mesa Unified School District,627240.0,"2101 Eastbluff Drive, 
Newport Beach, CA  92660",(949) 515-6000,(949) 515-6070,www.nmusd.us,62724004109.0,33.63547,-117.87623,https://www.greatschools.org/california/newport-beach/3878-Corona-Del-Mar-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/newport-beach/3878-Corona-Del-Mar-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/newport-beach/3878-Corona-Del-Mar-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/newport-beach/3878-Corona-Del-Mar-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,9.0,,6.0,,5.0,,28.0,516.0,85.0,97.0,94404.0,9.0,5.0,,80.0,433.0,43.0,40.0,63.0,434.0,30.0,40.0,85.0,61.0,96.0,93.0,7.0,92660.0,Corona del Mar High
Costa Mesa High,3879.0,Costa Mesa High School,public,7-12,1814.0,6.0,4.0,Costa Mesa,CA,482.0,Newport-Mesa Unified School District,627240.0,"2650 Fairview Road, 
Costa Mesa, CA  92626",(714) 424-8700,(714) 424-8770,www.nmusd.us,62724004110.0,33.670975,-117.90764,https://www.greatschools.org/california/costa-mesa/3879-Costa-Mesa-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/costa-mesa/3879-Costa-Mesa-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/costa-mesa/3879-Costa-Mesa-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/costa-mesa/3879-Costa-Mesa-High-School/?utm_source=GSAPI&utm_medium=referral,7.0,5.0,,3.0,,4.0,,24.0,605.0,81.0,100.0,86343.0,5.0,4.0,,49.0,282.0,34.0,644.0,25.0,284.0,24.0,648.0,51.0,44.0,93.0,92.0,67.0,92626.0,Costa Mesa High
Estancia High,3882.0,Estancia High School,public,9-12,1224.0,6.0,4.0,Costa Mesa,CA,482.0,Newport-Mesa Unified School District,627240.0,"2323 Placentia Avenue, 
Costa Mesa, CA  92627",(949) 515-6500,(949) 515-6571,www.nmusd.us,62724004114.0,33.65996,-117.93377,https://www.greatschools.org/california/costa-mesa/3882-Estancia-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/costa-mesa/3882-Estancia-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/costa-mesa/3882-Estancia-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/costa-mesa/3882-Estancia-High-School/?utm_source=GSAPI&utm_medium=referral,7.0,4.0,,3.0,,3.0,,21.0,387.0,100.0,100.0,79514.0,4.0,3.0,5.0,48.0,266.0,46.0,126.0,20.0,266.0,13.0,126.0,63.0,57.0,90.0,89.0,72.0,92627.0,Estancia High
Newport Harbor High,3890.0,Newport Harbor High School,public,9-12,2349.0,8.0,4.0,Newport Beach,CA,482.0,Newport-Mesa Unified School District,627240.0,"600 Irvine Avenue, 
Newport Beach, CA  92663",(949) 515-6300,(949) 515-6370,www.nmusd.us,62724004124.0,33.623856,-117.91321,https://www.greatschools.org/california/newport-beach/3890-Newport-Harbor-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/newport-beach/3890-Newport-Harbor-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/newport-beach/3890-Newport-Harbor-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/newport-beach/3890-Newport-Harbor-High-School/?utm_source=GSAPI&utm_medium=referral,9.0,7.0,,3.0,,4.0,,27.0,419.0,94.0,100.0,94427.0,7.0,4.0,9.0,63.0,542.0,44.0,208.0,41.0,536.0,22.0,206.0,56.0,38.0,94.0,90.0,35.0,92663.0,Newport Harbor High
El Modena High,3924.0,El Modena High School,public,9-12,2086.0,7.0,4.0,Orange,CA,484.0,Orange Unified School District,628650.0,"3920 Spring Street, 
Orange, CA  92869",(714) 997-6240,(714) 997-0705,http://www.elmodenahs.org/,62865004425.0,33.791416,-117.81251,https://www.greatschools.org/california/orange/3924-El-Modena-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/orange/3924-El-Modena-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/orange/3924-El-Modena-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/orange/3924-El-Modena-High-School/?utm_source=GSAPI&utm_medium=referral,8.0,6.0,,3.0,,4.0,,26.0,373.0,84.0,100.0,66224.0,6.0,4.0,8.0,58.0,501.0,48.0,271.0,30.0,503.0,18.0,272.0,44.0,32.0,96.0,97.0,43.0,92869.0,El Modena High
Orange High,3937.0,Orange High School,public,9-12,1889.0,4.0,4.0,Orange,CA,484.0,Orange Unified School District,628650.0,"525 North Shaffer Street, 
Orange, CA  92867",(714) 997-6211,(714) 633-6460,www.orangeusd.k12.ca.us/schools/high/orange/index.asp,62865004441.0,33.796223,-117.84872,https://www.greatschools.org/california/orange/3937-Orange-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/orange/3937-Orange-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/orange/3937-Orange-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/orange/3937-Orange-High-School/?utm_source=GSAPI&utm_medium=referral,2.0,4.0,,3.0,,3.0,,25.0,474.0,88.0,100.0,62191.0,4.0,3.0,4.0,45.0,406.0,44.0,331.0,16.0,405.0,15.0,330.0,28.0,28.0,93.0,94.0,74.0,92867.0,Orange High
Villa Park High,3950.0,Villa Park High School,public,9-12,2466.0,8.0,3.0,Villa Park,CA,484.0,Orange Unified School District,628650.0,"18042 Taft Avenue, 
Villa Park, CA  92861",(714) 532-8020,(714) 628-4302,http://www.villaparkhigh.org/,62865004456.0,33.81776,-117.81777,https://www.greatschools.org/california/villa-park/3950-Villa-Park-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/villa-park/3950-Villa-Park-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/villa-park/3950-Villa-Park-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/villa-park/3950-Villa-Park-High-School/?utm_source=GSAPI&utm_medium=referral,9.0,8.0,,5.0,,6.0,,29.0,494.0,80.0,100.0,69485.0,8.0,6.0,8.0,68.0,553.0,58.0,173.0,35.0,544.0,27.0,173.0,56.0,39.0,95.0,95.0,28.0,92861.0,Villa Park High
Yorba Linda High,25026.0,Yorba Linda High School,public,9-12,1791.0,10.0,3.0,Yorba Linda,CA,485.0,Placentia-Yorba Linda Unified School District,630660.0,"19900 Bastanchury Road, 
Yorba Linda, CA  92886",(714) 986-7500,(714) 986-7501,www.ylhs.org,63066012429.0,33.89921,-117.78732,https://www.greatschools.org/california/yorba-linda/25026-Yorba-Linda-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/yorba-linda/25026-Yorba-Linda-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/yorba-linda/25026-Yorba-Linda-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/yorba-linda/25026-Yorba-Linda-High-School/?utm_source=GSAPI&utm_medium=referral,10.0,9.0,,10.0,,8.0,,25.0,599.0,82.0,100.0,73562.0,9.0,8.0,10.0,78.0,427.0,66.0,58.0,61.0,433.0,50.0,58.0,70.0,53.0,99.0,100.0,11.0,92886.0,Yorba Linda High
Esperanza High,3959.0,Esperanza High School,public,9-12,1732.0,8.0,4.0,Anaheim,CA,485.0,Placentia-Yorba Linda Unified School District,630660.0,"1830 North Kellogg Drive, 
Anaheim, CA  92807",(714) 986-7540,(714) 693-7527,http://www.esperanzahs.com,63066004758.0,33.868187,-117.80429,https://www.greatschools.org/california/anaheim/3959-Esperanza-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/anaheim/3959-Esperanza-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/anaheim/3959-Esperanza-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/anaheim/3959-Esperanza-High-School/?utm_source=GSAPI&utm_medium=referral,9.0,8.0,,5.0,,6.0,,23.0,583.0,84.0,100.0,75932.0,8.0,6.0,9.0,68.0,355.0,53.0,80.0,51.0,355.0,33.0,80.0,58.0,38.0,96.0,92.0,20.0,92807.0,Esperanza High
Nova Academy Early College High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nova Academy Early College High
Segerstrom High,14093.0,Segerstrom High School,public,9-12,2433.0,7.0,5.0,Santa Ana,CA,487.0,Santa Ana Unified School District,635310.0,"2301 West Macarthur Boulevard, 
Santa Ana, CA  92704",(714) 241-5000,(714) 241-5099,http://segerstrom.sausd.k12.ca.us,63531010990.0,33.700104,-117.89828,https://www.greatschools.org/california/santa-ana/14093-Segerstrom-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/santa-ana/14093-Segerstrom-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/santa-ana/14093-Segerstrom-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/santa-ana/14093-Segerstrom-High-School/?utm_source=GSAPI&utm_medium=referral,7.0,6.0,,4.0,,5.0,,27.0,487.0,96.0,100.0,90858.0,6.0,5.0,8.0,55.0,448.0,49.0,293.0,29.0,449.0,25.0,294.0,59.0,58.0,98.0,98.0,89.0,92704.0,Segerstrom High
Hector G. Godinez,17564.0,Hector G. Godinez School,public,9-12,2622.0,7.0,4.0,Santa Ana,CA,487.0,Santa Ana Unified School District,635310.0,"3002 Centennial Road, 
Santa Ana, CA  92704",(714) 433-6790,(714) 433-6731,,63531012133.0,33.723465000000004,-117.90782,https://www.greatschools.org/california/santa-ana/17564-Hector-G.-Godinez-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/santa-ana/17564-Hector-G.-Godinez-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/santa-ana/17564-Hector-G.-Godinez-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/santa-ana/17564-Hector-G.-Godinez-School/?utm_source=GSAPI&utm_medium=referral,7.0,5.0,,5.0,,5.0,,26.0,525.0,93.0,99.0,88815.0,5.0,5.0,5.0,47.0,625.0,47.0,561.0,33.0,626.0,33.0,562.0,70.0,70.0,98.0,98.0,96.0,92704.0,Hector G. Godinez
Century High,4018.0,Century High School,public,9-12,1883.0,4.0,3.0,Santa Ana,CA,487.0,Santa Ana Unified School District,635310.0,"1401 South Grand Avenue, 
Santa Ana, CA  92705",(714) 568-7000,(714) 568-7038,http://www.sausd.us/century,63531009633.0,33.73021,-117.85036,https://www.greatschools.org/california/santa-ana/4018-Century-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/santa-ana/4018-Century-High-School/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/santa-ana/4018-Century-High-School/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/santa-ana/4018-Century-High-School/?utm_source=GSAPI&utm_medium=referral,3.0,2.0,,2.0,,3.0,,20.0,472.0,95.0,100.0,85642.0,2.0,3.0,2.0,32.0,411.0,32.0,384.0,13.0,411.0,14.0,384.0,36.0,37.0,93.0,93.0,96.0,92705.0,Century High
OCSA,11786.0,Ocsa,charter,7-12,2096.0,10.0,4.0,Santa Ana,CA,487.0,Santa Ana Unified School District,635310.0,"1010 North Main Street, 
Santa Ana, CA  92701",(714) 560-9000,(714) 664-0463,www.ocsarts.net/,63531008546.0,33.754065999999995,-117.8676,https://www.greatschools.org/california/santa-ana/11786-Ocsa/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/santa-ana/11786-Ocsa/?utm_source=GSAPI&utm_medium=referral,https://www.greatschools.org/california/santa-ana/11786-Ocsa/?utm_source=GSAPI&utm_medium=referral#Reviews,https://www.greatschools.org/california/santa-ana/11786-Ocsa/?utm_source=GSAPI&utm_medium=referral,10.0,10.0,,10.0,,10.0,,26.0,517.0,92.0,100.0,63814.0,10.0,10.0,,92.0,331.0,78.0,76.0,71.0,324.0,68.0,76.0,92.0,84.0,98.0,98.0,11.0,92701.0,OCSA
